userName,score,date,ulasan
jsdhwdmaX,5,2025-04-05 03:29:13,"Hallo. Pertama-tama saya ingin mengucapkan terimakasih, karena riliv telah hadir dan membantu saya di waktu bersedih. Sering kali saya merasa kecewa dengan diri saya sendiri, jadi saya ingin mengajukan saran untuk ditambahkan seri mengenai ""kecewa terhadap diri sendiri"" dalam riliv. Bila berkenan, pengisi suaranya sama seperti pengisi suara meditasi seri ""meditasi dasar 1"", karena saya mengagumi beliau dan merasa nyaman. Sekian saran yang dapat saya sampaikan, semoga dapat menjadi pertimb"
Muhammad Ziyadi,4,2025-04-04 01:18:41,kalo bagus ksh bintang 5
Lailatun Nishfah,1,2025-03-18 15:24:00,Ternyata memang konselornya nggak semuanya kompeten. Udah dua kali konseling tapi yang kedua dengan orang yang berbeda dan sangat mengecewakan. Bukanya bikin better malah jadi nambah bad mood.
Bantal Polo,5,2025-03-08 15:00:14,Bgus
Nauraf 2211,5,2025-02-26 23:16:20,Membantu sekali
Rindiani Putri Ramadhani,5,2025-02-26 07:43:33,Cukup membantu diri saya.
Staywithj,5,2025-02-18 15:55:45,Langganan sejak covid sampai sekarang 2025.... Mohon perbanyak topik meditasi nya karena saya suka
Hasriyani Syam,5,2025-02-17 20:43:34,riliv memang debes pokoknya. Terima kasih banyak dan sukses yah.
Nova Mustika,5,2025-02-07 00:20:37,"Sangat bagus aplikasi buat yg butuh menyembuhkan mental fitur meditasi nya bemar² rilex cumam emang Minus nya gabisa curhat tok tak marena berupa pertanyaan jadi gabisa timbal balik,minusnya juga pas meditasi untuk tiap tahapan nya harus di Klik agak mengurangi Konsentrasi sih..tapi over all 80% bagus lah"
Hanifah Tusadiah,1,2025-02-06 04:00:38,"kecewa banget udah bayar tapi ga ada sesi konseling, di chat email juga ga ada jawaban ini gimanasi ko ga ada jawaban sama sekali, jadi duit ku angus gitu ajaaa??"
Khaning _,2,2025-01-30 10:48:14,"Hallo kak saya kesulitan untuk mengatur jadwal konseling. Sedangkan saya tkw jam selesai kerja 23.30 wib. Saya kesulitan mengatur jadwal dengan psikolognya, dan saya suda wa riliv. Mohon bantuannya"
Keysa nurfauziah,4,2025-01-26 12:39:22,Alhamdulillah sekarang aku tahu tentang kesehatan itu bukan dari kesehatan fisik doang ternyata kesehatan mental juga penting. Terimakasih kasih riliv bantuin aku . Aku kasih bintang 4 karna 1 Bintangnya untuk psikologi nya😌😌😌
yuni sustika dewi,5,2025-01-17 06:08:45,Alhamdulillah sangat membantu
Lisa Margaretha Sugiarto,5,2025-01-15 16:48:43,aku suka bgt sama appnya karna bagus bgt dan sangat rekomen 🥰
Desti Angreini,5,2025-01-14 10:51:21,Bagus
Narda Dinata,1,2025-01-10 10:07:49,"Kecewa. Beli PREMIUM, GA BISA milih konselornya yg mana karna Katanya sudah ahlinya ya 'sepremium itu', nyatanya BARU pengalaman 2 tahun nangani client, make ada acara minta pindah jam padahal uda di tentukan dengan alasan lupa set jamnya, uda confir ke RILIVnya langsung dan SUPER SLOW RESPOND 👍💔 akhirnya mba konselornya bilang kalo ada konselor lain yg bersedia mau di lempar ke 'tim'nya TAPI NIHIL di gantungin sampe skrg jam 16.42 PADAHAL UDA MINTA MOLOR ITU TUH!"
Wikers Lucky,4,2024-12-31 08:24:37,Bagus..
Siska Sintaaak,5,2024-12-25 16:29:06,"Semoga km membantu ya, soalnya pikiran udah buntu banget,dan aku takut mati ditangan aku sendiri karna problem hidup ini wlaupn aku bru nginstal kmu, smoga km membantu aku, krn rating mu sngat bagus maksihhhh"
Schrödingerxy,5,2024-12-22 15:46:05,Saya tidak menyadari mentalku sedang parah. Aplikasi ini membantu menyadarkanku seberapa penting memeriksa kesehatan mental terhadap diri sendiri
Talita azzahra,5,2024-12-21 07:15:46,saya merasa lebih tenang
Jimi Jiandi,1,2024-12-03 07:40:15,"Adm wa-nya slowrespon bgt , dari yang awalmya mau upgrade konseling jdi males mending di refund aja"
Rendi setiawan,5,2024-12-01 04:15:52,Thank you
Zafira Candra,5,2024-11-29 06:56:46,"fiturnya menarik semua, cocok buat yang mau mulai journaling juga, semoga bisa konsisten 👍"
Nia Tania,5,2024-11-22 11:23:37,Aplikasi nya bagus bangettt aku sukaa
Farhan F,3,2024-11-15 12:48:40,"Coba blue core dev, benerin dong ada bug paymend method gopay"
Susaň_ J21,5,2024-11-11 18:58:18,Aku senang
Kitu Deui,5,2024-11-10 10:40:05,Ok
Fadilla Ramadan,2,2024-11-03 13:58:29,lama banget balasnya padahal lagi online 😞
Riska Utami Kuswana,5,2024-10-29 12:36:53,Terimakasih ini sangat membantu
Gnis Christie,5,2024-10-29 04:50:34,Semoga membantu
Dellamonica019,5,2024-10-28 06:16:39,"banyak bantu akuu, makasii yaa"
fifien dwi agustin,5,2024-10-27 16:16:09,"Aplikasi ini direkomendasikan oleh dokter psikiater ku, berharap ini dapat membantu ku, terimakasih"
Gracia Madellina,5,2024-10-26 14:53:25,"Terima kasihh kini aku telah bersemangat kembali karena telah meceritakan sedikit tentang diriku,terima kasihh Riliv:))"
Citra Herningsih,5,2024-10-16 14:21:13,good app
Ammar Fathin,5,2024-10-09 23:02:40,"Tingkatkan lagi peforma nya, jangan kendor, rekomendasi di download"
Sheila Wardhani,5,2024-10-05 08:10:30,Bagus untuk kesehatan mental
Siti Soraya,5,2024-10-04 10:35:41,Sukaaa
Rizky Rizky b,5,2024-10-04 06:41:57,Bagus membantu
Ani Kurani,5,2024-10-01 13:22:50,"Bagus banget bermanfaat buat orang"" yg seperti ku"
Binti Khoiriyah,3,2024-09-28 05:48:09,"Sangat bagus ya semuanya lengkap. Namun satu kurangnya, tiba2 sering logout sendiri."
Erny Yusthian27,5,2024-09-27 12:47:53,"Pertama kali make,lbh kaya Qt curhat kediary tp lebih seperti curhat dg dikasih motivasi yg positif"
Karlorius Dandhy,5,2024-09-25 16:11:32,"Aplikasinya bagus,dan sangat membantu untuk menenangkan diri kita sendiri,apalagi di sesi meditasinya"
May Lita,4,2024-09-22 10:59:37,"Membantu diri,semoga bermanfaat kedepannya"
Mufida,5,2024-09-16 02:29:38,membantuuu
Gusti ayu Karang,5,2024-09-09 09:29:50,Great
minyak bodrek,5,2024-09-09 09:11:51,👍
Wisnu Syah,5,2024-09-09 08:35:56,membuat ku merasa sedikit lebih baik
Mulia Arifin,5,2024-09-07 03:26:52,Recommended
Ratna Sari,5,2024-09-06 00:06:55,"Maasya Allah..terima kasih riliv, aplikasi ini sangat bermanfaat dan berguna. Aku udah lama download ini, dan Aku juga mengalami mental illnes yg kadang kesusahan menghadapi perubahan mood dan emosi yg berubah ubah, di bantu riliv Aku jadi lebih mudah mengelola emosi dan jauh lebih tenang, Alhamdulillah.. Semoga Allah balas kebaikan yg bikin aplikasi ini dengan keberlimpahan yg berlipat lipat 🤲🏻🥰"
ARBEN,5,2024-08-26 08:58:54,membantu menginspirasi
Bagas Wibowo,1,2024-08-12 05:55:54,Fitur journey nya loading terus
yahya ekananta,5,2024-08-12 01:57:48,Good application
Slamet SJ,5,2024-08-10 09:29:27,Masyaallah aplikasi ini sangat membantu untuk menemukan ketenangan jiwa
Mujiharto Agung Saputra,5,2024-08-09 09:37:54,Bagus untuk mengukur kesehatan mental.
Herohendra ML,5,2024-08-07 19:20:04,Aplikasinya bagus membuat santai dan nyaman rekomendasi sih aplikasi ini
Datri,5,2024-08-07 07:37:25,Aplikasi ini bagus cuma belom pahamm banget jadi agakk sulit
Dexter Curtis,5,2024-08-07 00:06:00,"Aplikasinya ringan, fitur fiturnya juga sangat membantu"
Sahadan Koma,5,2024-08-02 10:36:13,"Aplikasi yg sangat bagus,terutama dalam mengeluarkan segala pikiran atau unek - unek yg kita rasakan dalam menjalani kehidupan sehari - hari ditambah terlebih lagi ada journal yg dapat kita isi setiap harinya sebagai media pendukung aktivitas atau kesibukan apa saja yg sudah kita lakukan atau lalui hari ini"
Nyoman Krisnayana,5,2024-07-29 06:05:42,Aplikasi yg luar biasa
Yoon Seon-na,5,2024-07-21 23:47:30,Sangat sangat membantu
arif Abdul hidayat,5,2024-07-19 03:24:29,Keren sangat membantu untuk belajar meditasi
Charisha Andini,5,2024-07-14 14:55:51,Saya suka dengan aplikasi ini. Saya merasa lebih baik setelah mencurahkan kepada jurnal yang singkat dan beberapa meditasi. Terima kasih. Semoga kedepannya dapat menjadi lebih baik.
vintara Amanda,5,2024-07-13 13:03:48,Bagus
PutriArinda Nurun.n,1,2024-07-13 01:16:56,apk😏😏 gajelas aku daftar aja gabisa ktnya coneksi jaringan putus lah padahal sinyal bagus jaringan lancar tetap aja daftar gabisa mending diperbaiki dlu deh apknya biar g menghambat yang lain. tertipu bgt gw nyesellllll
Angella Riska,5,2024-07-10 14:01:33,"Bagus banget aplikasinya, bisa bantu konseling jarak jauh, dg konselor yg berpengalaman"
Diffaya,5,2024-07-10 12:58:33,"Riliv keren, karena kasih aku banyak pengalaman dan pelajaran tentang pentingnya kesehatan mental. Banyak meditasi juga, terus konselornya ramah-ramah."
Qonita Saidah,5,2024-06-23 00:37:05,"BAGUS!!! aplikasi nya bagus banget gak ada cacat sama sekali, recommended. DOWNLOAD!!!"
Husein Mawlay,5,2024-06-19 12:55:08,Ok
Maulana Satria Nugraha,5,2024-06-18 15:15:35,Nicee
Mia Shu,3,2024-06-13 11:08:32,Oh ya saya lupa. Kenapa install lagi ya. Kan berbayar.
gutgut talk,5,2024-06-12 22:29:52,Mantap sih. Ngebantu banget
Rifky Ramadhan,5,2024-06-10 03:07:46,Apk bagus
Arina N. Fitria,5,2024-06-07 02:58:24,"Membantu sekalii, di hari harii"
Diva Aura,5,2024-06-04 17:16:12,"sangat baik,membantuku🥺"
Ahdi Aghni,5,2024-06-04 03:37:09,Bener bener sangat membantu
lusi aryola,5,2024-06-01 10:18:18,Bagys
Bahir Samsung,5,2024-05-31 06:44:54,Baik
Wiwik Winarni,5,2024-05-28 08:17:37,Teman-teman yang ada ganjalan di hati dengan riliv bisa teratasi
Sri Purwantini,5,2024-05-28 08:16:35,Aplikasi Riliv sangat bagus dan bermanfaat bagi saya untuk mengetahui kondisi kesehatan saya saat sekarang.
Dedi Gunawan,5,2024-05-25 15:29:19,"Halo ^^ untuk yang membaca ulasan aku, aku akan bercerita sedikit ya hehe :) aku memiliki ganguan mental yang cukup berbahaya aku harap aplikasi ini bisa bantu aku menyembuhkan ganguan mental yang aku alami ^^ smgt untuk yang senasib denganku jangan pantang menyerah yaa :)"
Mira,1,2024-05-25 14:27:49,"Salah satu Psikolog nya kayak gak niat nanganin udah jawabnya singkat, lama, kayak gak niat.. udah bayar mahal juga"
Minarti,4,2024-05-23 04:13:02,Terimakasih Semoga membantu banyak orang
Afriani Euis,5,2024-05-23 00:16:06,Nice
Adi Kuntoro,3,2024-05-18 03:26:02,Bagus sih
Kahlil Al-Zahrawi,4,2024-05-15 16:41:52,Bayak yang premium
Triaayu Mariana,5,2024-05-15 07:31:38,"Adanya Apk ini cukup membantu bagi saya. Menu /Fitur nya juga beragam,, tenaga psikolog profesional. Terimakasih, salam sehat dan sukses menyertai. Aamiin"
Nor Latipah,5,2024-05-14 01:07:42,Sukak
angel octvni,5,2024-05-13 03:55:53,sangat membantu karena sering malas journaling.
zahwa sarastiti,4,2024-05-10 16:28:06,Aplikasinya sering loading jadi gak bisa dipakai 😢
Salsabila Lubis,5,2024-05-10 04:50:42,Sedikit membantu menenangkan pikiran
Raisya Raisya,5,2024-05-10 01:08:10,aku yg ga punya tempat cerita jadi merasa dipeduliin dengan aplikasi ini. thanks for everything riliv:((
Seren Selviana,4,2024-05-09 00:37:59,Saya puas
Kania Agustina,5,2024-05-04 07:34:12,Aplikasi nya bagus bisa curhat
ahmad hilmi,5,2024-05-01 13:58:18,Saya ada permasalahan pembayaran tidak bisa membayar dengan metode apapun
Shuci Rachmawati,5,2024-05-01 11:18:01,Lebih lengkap sangat membantu
Hasriyani Syam,5,2024-04-30 07:58:17,Aplikasi yang sangat luar biasa. Membantu meringankan masalah. Banyak tips tips yang bisa dilakukan untuk mengurangi depresi. Terima kasih.
ulfah rahmayani,5,2024-04-30 07:18:29,"Baru nyoba sleep journey,, seneng su, di saat nulis di kertas suka mager... Bisa jadi sarana menambahkan kegiatan produktif bagi seorang ibu"
Barra Hartama,5,2024-04-22 14:50:29,Tks sangat membantu buat meditasi dirumah
Maulida k,4,2024-04-21 15:50:47,"bguss tapi setiap bisa lucky spin terus dapet voucher, voucher nya malah kedaluwarsa. Tanggal kedarluwarsanya 31 Desember, padahal dapet voucher nya tanggal 21 April. Tolong diperbaiki yaaaa..."
Akbar Farizi,5,2024-04-20 16:51:05,Top
iwan ridwan,2,2024-04-16 19:24:26,"Gak ngerti salahnya dimana, kemarin aman-aman aja. Tp malam ini d coba berkali2 gagal terus, koneksi terputus. Udah pindah2 jaringan masih aja begitu. Coba log out tp gk bisa login lagi. Loading terus. Padahal buka2 apps lain aman, youtube lancar jaya. 🤦‍♂️"
Tamariska Rebeka Sitinjak,5,2024-04-15 15:24:06,"Hallo... Saya sering sekali mendengar meditasi dan lelap dari riliv. Saran dari saya, kualitas narator semakin ditingkatkan ya, intonasi baca, penggunaan tanda baca, suara lembut dan tidak tergesa-gesa dalam membaca teks. Terimakasih..."
Aira Ahnaf,5,2024-04-05 07:54:36,Bagus
Arief Hermawan saputra,5,2024-03-31 20:53:18,Ok
Black Noir,5,2024-03-30 13:14:10,Terimakasih riliv aplikasi ini sangat membantu saya untuk mengurangi stress daa kecemasan.
DM ALJAELAMI,5,2024-03-28 12:31:59,sangat membantu untuk kesehatan mental
Adhita Dewi,5,2024-03-24 01:24:51,aplikasi riliv ini buat saya sangat membantu hidup saya
Afidatul Hasanah,5,2024-03-21 04:17:37,Aku suka banget sama apk ini. Sangat membantu. Semoga terus seperti ini ya❤️
Aca,5,2024-03-19 03:44:51,"Over all baguss, banyak yang gratis dan sangat membantu, terima kasih karena udah membuat aplikasi iniiii"
Rafly Farhan aji,5,2024-03-14 03:45:07,"Di sini bagu, bisa jurnal harian, dan jurnalnya itu ada pertanyaan pertanyaan gitu, jadi saya gak perlu pusing pusing mikirin mau jurnal apa ya, pokok ya Riliv the best aplikasi di hp saya. Thank"
Sri ayu,4,2024-03-13 08:01:16,Kak ini kenapa ya koq aplikasi ke tutup sendiri setiap saya mau liat riwayat konseling??
Ayman Thalib,2,2024-03-12 16:30:01,Udah nyaman padahal tapi tiba tiba gak bisa login
Rosdiana Lukitasari,5,2024-02-26 06:55:57,Riliv membantu sekali untuk dealing with mental issue secara cepat dan mudah 🥰
Dian Ainun,5,2024-02-25 15:13:33,"Aku pernah ngalamin mental health dan mental down itu aku langsung download apk riliv soalnya aku liat apk itu di rekomendasikan buat orang yang ngalamin mental health kek aku,dan pas aku download ternyata mempan mental ku langsung kembali seperti kek dulu.."
Naura Vedilia,5,2024-02-24 10:35:28,Keren❤️
Alisya Zahra,5,2024-02-23 15:49:07,Baguss
Gusti Ridhani,5,2024-02-23 12:39:09,Bagus saya baru download dan baru menggunakan
Rafidah Salma,5,2024-02-22 11:18:26,"Bagus, banyak psikolog profesional"
Erfan saputra Fan.s_er-el,5,2024-02-22 03:33:37,Bagus ka makasih
Ade Oktaviani,5,2024-02-21 09:32:55,Puasss!
Nadya Fazira Islah Mahdania,5,2024-02-14 02:05:42,Aplikasinya bagus banget dan sangat menarik
Yarni Harefa,5,2024-02-12 02:51:30,Sangat membantu
Mltzm,5,2024-02-10 19:14:46,"Bagus sih aplikasi nya bisa mencari berbagai bantuan, tapi kalau tidak bisa membayar,maka tidak bisa mencari bantuan ya, karena ken uang juga sulit nih ,semoga di mudahkan sedikit,maaf sebelumnya."
Dimas Muhammad Surya,5,2024-02-10 13:00:30,Aplikasi yang benar-benar mendukung bagi orang-orang yang merasa sedang tidak baik² saja
Restu Nur Arini,5,2024-02-09 06:38:27,"Bnr bnr lega 😭😭😭 stlah ktmu riliv, dan dpet konselor yang sangat sangat baik dan bnr bnr mau diajak diskusi tanpa mnyudutkan 😭❤️"
Gatit Tubiarti,5,2024-02-07 10:23:29,Bagussss bngttt
Murni Oktaviani,1,2024-02-07 08:44:33,Sudah booking untuk konsul via call dengan psikolog. Sudah chat psikolognya duluan. Nunggu sejam chat masih belum direspon sama psikolognya. Katanya notif chatnya gak masuk. Berarti ada yang salah dengan aplikasinya. Mohon maaf saya uninstal Ajukan refund katanya maksimal 3x24jam. Ini udah seminggu loh. Please lah empatinya dipake
Dyara _,5,2024-02-06 15:09:11,"Sangat suka dengan aplikasi riliv bisa menenangkan diri dari kepanikan sesaat, aplikasi nya lengkap dan sangat mudah di akses dan sangat di butuhkan"
Fathya rahma,5,2024-02-05 22:39:16,"Aplikasi yg bagus, baru pertama kali pakai sudah membuat penasaran ingin mencoba semua fitur yg ada dalam aplikasi.."
rizky indriani,5,2024-02-03 13:27:45,Bagus
Lia Ail,5,2024-02-03 13:17:35,Sangat mbantu sy yg lg cemas... Menenagkn fikiran dg suara intrusi meditasinya
Moh Josef,5,2024-02-01 12:47:50,Makasih developer semoga kalian selalu mendapatkan ketenangan dan kebahagiaan dalam hidup.
Elsa Nurhandayani,5,2024-01-31 15:39:59,Apk nya baguss😁😊
Sulthan Rafi Nugraha,4,2024-01-31 03:53:39,Cukup bagus dan lengkap untuk sekarang
Vina Fulvia,5,2024-01-30 05:07:25,Sangat bagussssss gak tau mau bilang apa lagi baguss bgttt app nya.... SANGAT MEMBANTU😊
Wahyu Prihatini,5,2024-01-29 09:56:43,Membantu sekali
mutiara azra afifa,5,2024-01-25 05:32:02,"bagusss, membantu untuk jurnal dan meluapkan emosi, dr apk ini jg kita bisa belajar mengapresiasi diri sendiri"
dta. af,5,2024-01-22 12:06:18,terimakasih ya
Dahliana,4,2024-01-11 01:21:23,Perlu dicantumkan nama dokter nya dan usia agar pasien lebih yakin dengan capabilitas dan integritas dokter untuk berkonsul
Wulan Sya fitry,5,2024-01-05 12:00:14,Semoga rivil update menjadi yang terbaik sepanjang masa
Intan Islamiati,5,2024-01-04 02:18:46,Aplikasinya sgt bagus. Untuk yang mau konsisten journaling
Nayyesiaaa,5,2024-01-01 10:24:37,Cakep
KARYA PURNAMASARI002,5,2023-12-30 21:58:32,The best
Testt Okee,3,2023-12-29 19:14:22,"Assalamualaikum wrwb kta hrs htht mnghdpin problem yg penting optimis ja ya dcna smga lncr kerjanya amin yarobbal Al-Amin, smga hrnh jauh LBH baik kdpnnya Brsma mendoakan orang tua kita agar dbri klncran usahanya wlpn hrs dtmpuh dengan rasa syukur atas nikmat yang Allah berikan kepada kita semua agar dapat mencapai tujuan tertentu seperti yg penting halal n brkah nantinya bgaimnkta bisa mwjtkan impia dan sukses selalu menjadi dambaan setiap insan baik lagi sprti yanglain dan rasul-nya?"
Adhwa Qurrotaainin,3,2023-12-29 10:44:47,Untuk konseling instan dijawabnya lamaaaaaa banget
ayuan dary,5,2023-12-28 03:56:07,Sangat membantu bagi orang² yg tertutup ke orang lain🙂
Anisa Janatin,1,2023-12-26 00:34:43,"Saya baru mendownload aplikasi ini dan tidak bisa dibuka terus karena ngebug, tolong diperbaiki lebih baik lagi"
fitria indah sugiarti,5,2023-12-21 02:07:02,Aplikasi ini sangat membantu dan responnya cukup bagus. Namun beberapa kali ngebug saat di buka. Mohon di perbaiki lgi
Wulan Novitafitri,3,2023-12-20 23:27:11,mau nyoba aplikasi nya ini tapi kok daftar akunnya gagal terus ya? padahal internetnya stabil kenapa yaa??
Saad Mulya Diajeng Kartina,5,2023-12-18 01:48:34,Bagus
Hanna Art Izzati,5,2023-12-13 02:38:27,Lumayan membantu
Febriano Jonathan,5,2023-12-06 09:49:40,"Terimakasih, Riliv. Dengan adanya sesi meditasi yang menenangkan dan juga pembicara dari sesi meditasi yang membuat tenang dan nyaman membuat ku yang panik secara tiba-tiba bisa menjadi lebih tenang dengan mengikuti sesi meditasi yang disediakan :))"
Master Gudang,5,2023-12-05 03:29:05,Ok
Bilqis Sulthanan Nasira,5,2023-12-01 23:46:26,"Bingung gimana jelasin nya, download dulu deh coba liat liat dulu dalemnya gimana. Asli worth it sih versi gratis nya banyak banget & ga pelit. Tampilan / arahan ga ribet ga membingungkan sangat simpel easy to use tapi tetap entertain karna semanfaat itu. Pokonya coba download dulu deh 😭"
Lenti Zai,5,2023-11-30 07:50:12,Terimakasih riliv 🤗
Bernadeta Febriandini,5,2023-11-29 07:24:52,♡♡♡
Amanda S Nasution,5,2023-11-27 13:31:33,Good aplication
Febry Novebrians,5,2023-11-26 17:51:29,Apk nya berjalan baik
Novi Nurjanah15,5,2023-11-22 10:30:30,Sangat membantu terimakasih
Asman R,5,2023-11-19 11:32:01,Sangat membantu kita melupakan permasalahan yg dialami dalam kehidupan sehari-hari
Nia Rodiana,5,2023-11-16 07:20:52,"Sangat seru, banyak journal journal keren yang bisa kita isi. bahasa di aplikasi juga sangat ringan sehingga kita merasa seperti sedang mengobrol dengan teman."
Mega Choir,5,2023-11-13 22:22:49,Sejauh ini membantu. Semoga bisa selalu menemani dan membuat kesehatan mental membaik
Endang Retno,5,2023-11-13 13:20:33,Aplikasi yang dapat membantu dalam menjaga kesehatan mental dan memperbaiki kesehatan mental
peny alami (Bunmma),4,2023-11-08 06:10:09,Aku bersyukur dengan hadirnya aplikasi Riliv.Semoga Aku bisa lebih bersemangat dan penuh syukur dengan hidupku.Kesehatan Mental sangat penting untuk kita jaga.
Christian Bima,5,2023-11-07 08:07:04,Aplikasi terobosan yang bagus untuk masyarakat lebih terbuka tentang kesehatan mental
Lia Amalia,5,2023-11-04 00:47:36,Makasih sudah membantu
Banx Sagara,5,2023-11-01 09:55:24,My.
Wina Alfionita,5,2023-10-26 03:53:57,"Aplikais yang sangat membantu, sangat mudah menggunakannya"
AfniSA,5,2023-10-23 12:55:22,Saya kira mental saya butuh penanganan. Saat saya mencoba untuk mencari penanganan di aplikasi ini saya sadar bahwa penanganan itu butuh duit. So mungkin bertahan beberapa tahun lagi untuk mendapatkan penanganan mental saya. Terimakasih udah bikin apk inj
EDI SUTISNA,2,2023-10-22 15:11:09,"terakhir buka riliv tahun 2018 dulu curhat leluasa, banyak yg respon baik jadi tempat keluh kesahku tiap hari tapi kenapa sekarang berbayar semua ya?"
Tik Fluffy,5,2023-10-21 21:15:42,aplikasinya bagus
Andriani Fitri Nasution (Indri),5,2023-10-21 12:25:05,bagusss bangett dan sangatt bermanfaatt terimakasihh pembuat aplikasi🥰🥰
Rizal Pahlevi,5,2023-10-19 11:03:39,Sangat membantu
Kamadu Arya,5,2023-10-18 04:02:47,Bisa lebih tenang
Ittaqy Tafuziana Putri,5,2023-10-13 12:14:34,"Aplikasi ini sangat bagus,saya ingin berterimakasiih yg banyak riliv sudah membantu menemani masa masa sulit saya"
Syawalia Putri Ramdani,5,2023-10-07 13:15:07,Aplikasi nya membantu aku dalam menjalankan kehidupan dan memperbaiki diri terima kasih Riliv
Irsyad Putra Prananca,5,2023-10-06 01:22:20,Seru bgt gratis n gaada iklann!!!
Defita Rara,4,2023-10-05 04:48:13,"saya suka sesi meditasinya,tapi harga untuk konseling dengan psikolognya mahal"
juanda halim,4,2023-10-04 04:30:07,Tidak auto refresh saat ada chat baru! sering harus keluar dulu dan masuk lagi baru masuk chatnya.
Deden Riyan,4,2023-10-03 09:43:10,Terima kasih sangat membantu sekali
Akun Faza,5,2023-10-02 13:09:00,"Aplikasinya sangat membantu saya,di dalam aplikasi ini banyak ilmu yang bermanfaat,tampilan dari aplikasi yang menarik,banyaknya pilihan yang bisa saya pilih,dan kenyamanan saya saat menggunakan aplikasi ini."
Diana Angi,5,2023-09-30 07:36:00,Terima kasih sudah membantu
Petrolina Dasilva,5,2023-09-30 02:37:16,Sangat bagus
Nur Aeni,1,2023-09-29 23:41:13,Aplikasi ini sangat membantu saya untuk mengenali dan mengendalikan diri saya sendiri
DEVIKA SELI,5,2023-09-28 11:20:34,Bagus
Cuah,5,2023-09-26 10:42:39,Apl nya bagus sangat membantu saya yg kesulitan dan kurang apresiasi terimakasih dan jangan berubah yaa ❤️🤗
achmad ali,5,2023-09-25 04:07:30,Bagus banget sih
Oaby Fadhilah,5,2023-09-24 11:35:34,♡♡♡♡♡♡♡⁠๑⁠
Haniffah Rahmah,5,2023-09-22 14:14:17,Sering loading
Siti Aminah,5,2023-09-21 00:19:24,Berasa punya temen yang mengarahkan ttg apa yg lagi kita rasakan tp bikin plong
Jastip Asyila Barakati Masohi,5,2023-09-20 00:03:40,Keren
2PA04_Nasrul Noer Hidayat,1,2023-09-12 00:54:06,Streak selalu tereset. Padahal saya setiap hari meditasi dan menyalakan data seluler
Afriza Yulianti,5,2023-09-11 09:49:22,Bagus
Murai Batu,5,2023-09-10 12:43:58,Keren
Fasna Rich,5,2023-09-04 12:44:41,Good
Mothia Shafira,5,2023-08-26 12:53:48,Untuk chat konseling instannya cukup membantu dan terjangkau
Desy Natalia 2,5,2023-08-21 01:19:02,"Terima kasih untuk aplikasi ini dan berharap pembayarannya lebih mudah caranya,"
